ISIN/CUSIP,Fund Name,Objective
PAIKX,T Rowe Price Emerging Markets Bond Fund,"The Fund seeks to provide high income and capital appreciation.  The Fund seeks to invest at least 80% of its assets in bonds and 65% of its assets in high-quality foreign bonds.  The Fund may invest up to 20% of its assets in below investment-grade, high-risk bonds, including those in default or with the lowest rating."
PACEX,T Rowe Price Emerging Markets Corporate Bond,"The Fund seeks high current income and secondarily capital, appreciation. The Fund will invest at least 80% of its net assets in bonds issued by companies that are located or listed in, or conduct the predominant part of their business activitives in, the emerging market countries."
PRELX,T Rowe Price Emerging Markets Local Currency Bond (PRELX),"The Fund seeks to provide high income and capital appreciation. The Fund primarily invests its assets in bonds that are denominated in emerging markets currencies, and in derivative instruments that provide exposure to such securities."
PRMSX,T Rowe Price Emerging Markets Stock Fund (PRMSX),"The Fund seeks capital appreciation through investment in foreign companies. The Fund invests primarily in companies located in less developed ""emerging market"" countries."
PRZIX,T Rowe Price Emerging Markets Stock Fund,"The Fund seeks capital appreciation through investment in foreign companies. The Fund invests primarily in companies located in less developed ""emerging market"" countries."
PRIJX,T Rowe Price Emerging Markets Value Stock Fund (PRIJX),"The Fund seeks long-term growth of capital. The Fund normally invests at least 80% of its net assets in stocks issued by companies in emerging markets. It may invest in companies of any size, but generally seeks stocks of larger companies that are undervalued in the view of the portfolio manager using various measures."
PAIJX,T Rowe Price Emerging Markets Value Stock Fund,"The Fund seeks long-term growth of capital. The Fund normally invests at least 80% of its net assets in stocks issued by companies in emerging markets. It may invest in companies of any size, but generally seeks stocks of larger companies that are undervalued in the view of the portfolio manager using various measures."
PRFDX,T Rowe Price Equity Income Fund (PRFDX),"The Fund seeks a high level of dividend income and long-term capital growth primarily through investments in stocks. The Fund invests at least 80% of its net assets in common stocks, with an emphasis on large-capitalization stocks that have a strong track record of paying dividends or that are believed to be undervalued."
PAFDX,T Rowe Price Equity Income Fund,"The Fund seeks a high level of dividend income and long-term capital growth primarily through investments in stocks. The Fund invests at least 80% of its net assets in common stocks, with an emphasis on large-capitalization stocks that have a strong track record of paying dividends or that are believed to be undervalued."
PREIX,T Rowe Price Equity Index 500 Fund (PREIX),The Fund seeks investment results similar to the S&P 500. The Fund is passively managed and seeks to remain fully invested at all times.  The emphasis is on large-cap stocks. The Fund may also pay a modest dividend that can help offset losses in falling markets.
PRUIX,T Rowe Price Equity Index 500 Fund,The Fund seeks investment results similar to the S&P 500. The Fund is passively managed and seeks to remain fully invested at all times.  The emphasis is on large-cap stocks. The Fund may also pay a modest dividend that can help offset losses in falling markets.
PRESX,T Rowe Price European Stock Fund (PRESX),The Fund seeks long-term capital appreciation by investing primarily in a diversified portfolio of equity securities issued by companies domiciled in Europe.
PEXMX,T Rowe Price Extended Equity Market Index Fund (PEXMX),The Fund seeks to invest primarily in small and midcap stock representative of the Wilshire 4500 equity index.
PRISX,T Rowe Price Financial Services Fund (PRISX),The Fund seeks long-term capital growth and modest income.  The Fund normally invests at least 80% of its net assets in the common stocks of companies in the financial services industry.  The Fund may invest in companies deriving substantial revenues from conducting business with the financial services industry.
PRFRX,T Rowe Price Floating Rate Fund (PRFRX),"The Fund seeks high current income and, secondarily, capital appreciation. The Fund will normally invest ar least 80% of its net assets in floating rate loans and floating rate debt securities."
PAFRX,T Rowe Price Floating Rate Fund,"The Fund seeks high current income and, secondarily, capital appreciation. The Fund will normally invest ar least 80% of its net assets in floating rate loans and floating rate debt securities."
GTFBX,T Rowe Price Georgia Tax-Free Bond Fund (GTFBX),The Fund seeks to provide the highest level of income exempt from both federal and Georgia state income taxes by investing primarily in investment grade Georgia municipal bonds.
RPGAX,T Rowe Price Global Allocation Fund (RPGAX),"The Fund seeks long-term capital appreciation and income. The Fund invests in a broadly diversified global portfolio of investments, including US and international stocks, bonds and short-term securities, and alternative investments."
PAFGX,T Rowe Price Global Allocation Fund,"The Fund seeks long-term capital appreciation and income. The Fund invests in a broadly diversified global portfolio of investments, including US and international stocks, bonds and short-term securities, and alternative investments."
PGLOX,T Rowe Price Global Consumer Fund (PGLOX),"The Fund seeks to provide long-term growth of capital. The fund will invest at least 40% of its net assets in securities issued by companies organized or located outside the U.S. The fund generally targets companies in the consumer staples and consumer discretionary sectors as they are classified by MSCI, Inc."
RPGEX,T Rowe Price Global Growth Stock Fund (RPGEX),"The Fund seeks long-term growth of capital through investments primarily in the common stocks of large-cap companies throughout the world, including the U.S.  The Fund seeks to invest substantially all of its assets (normally at least 80% of net assets) in stocks of large-cap companies."
PAGLX,T Rowe Price Global Growth Stock Fund,"The Fund seeks long-term growth of capital through investments primarily in the common stocks of large-cap companies throughout the world, including the U.S.  The Fund seeks to invest substantially all of its assets (normally at least 80% of net assets) in stocks of large-cap companies."
RPIHX,T Rowe Price Global High Income Bond Fund (RPIHX),"The Fund seeks high income and, secondarily, capital appreciation. The Fund invests at least 80% of its net assets in bonds. The Fund invests in a diversified portfolio of high yield bonds, also known as junk bonds, and other high income producing instruments. Junk bonds are bonds that are rated below investment grade."
PAIHX,T Rowe Price Global High Income Bond Fund,"The Fund seeks high income and, secondarily, capital appreciation. The Fund invests at least 80% of its net assets in bonds. The Fund invests in a diversified portfolio of high yield bonds, also known as junk bonds, and other high income producing instruments. Junk bonds are bonds that are rated below investment grade."
RPGIX,T Rowe Price Global Industrials Fund (RPGIX),The Fund seeks to provide long-term growth of capital. The Fund invests at least 80% its net assets in securities issued by companies in the industrials sector and at least 40% of its net assets in securities issued by companies organized or located outside the US or doing a substantial amount of business outside the US.
PRSNX,T Rowe Price Global Multi-Sector Bond Fund (PRSNX),The Fund seeks to provide high income and some capital appreciation.  The Fund seeks to invest at least 80% of its net assets in income-producing securities or other income-producing instruments.  The Fund may invest in a variety of securities in an effort to enhance income and achieve some capital growth.
PRSAX,T Rowe Price Global Multi-Sector Bond Fund,The Fund seeks to provide high income and some capital appreciation.  The Fund seeks to invest at least 80% of its net assets in income-producing securities or other income-producing instruments.  The Fund may invest in a variety of securities in an effort to enhance income and achieve some capital growth.
TRGRX,T Rowe Price Global Real Estate Fund (TRGRX),"The Fund seeks to provide long-term growth through a combination of capital appreciation and current income.  The Fund seeks to invest at least 80% of net assets in the equity securities of real estate companies throughout the world, including the U.S."
PAGEX,T Rowe Price Global Real Estate Fund,"The Fund seeks to provide long-term growth through a combination of capital appreciation and current income.  The Fund seeks to invest at least 80% of net assets in the equity securities of real estate companies throughout the world, including the U.S."
PRGSX,T Rowe Price Global Stock Fund (PRGSX),"The Fund seeks long-term growth of capital through investments primarily in common stocks of established companies throughout the world, including the United States. The Fund will diversify broadly by investing in a variety of industries in developed, newly industrialized, and emerging markets."
PAGSX,T Rowe Price Global Stock Fund,"The Fund seeks long-term growth of capital through investments primarily in common stocks of established companies throughout the world, including the United States. The Fund will diversify broadly by investing in a variety of industries in developed, newly industrialized, and emerging markets."
PRGTX,T Rowe Price Global Technology Fund (PRGTX),"The Fund seeks to provide long-term capital growth by investing at least 65% of total assets in the common stocks of companies around the world expected to generate a majority of their revenues from the development, advancement, and use of technology."
RPIEX,T Rowe Price Global Unconstrained Bond Fund (RPIEX),"The Fund seeks high current income. The Fund invests at least 80% of its net in bonds, and seeks to offer some protection against rising interest rates and provide a low correlation with the equity markets. It invests at least 40% of its net assets in foreign securities including securities of emerging market issuers."
PAIEX,T Rowe Price Global Unconstrained Bond Fund,"The Fund seeks high current income. The Fund invests at least 80% of its net in bonds, and seeks to offer some protection against rising interest rates and provide a low correlation with the equity markets. It invests at least 40% of its net assets in foreign securities including securities of emerging market issuers."
PRGMX,T Rowe Price GNMA Fund (PRGMX),"The Fund seeks highest income, consistent with maximum credit protection and moderate price fluctuation, through exclusive investment in government-backed securities."
PRGIX,T Rowe Price Growth & Income Fund (PRGIX),"The Fund seeks long-term growth of capital, a reasonable level of current income, and an increase in future income by investing primarily in dividend-paying common stocks."
PRGFX,T Rowe Price Growth Stock Fund (PRGFX),"The Fund seeks long-term growth of capital and, secondarily, increasing dividend income by investing primarily in common stocks of well-established growth companies."
TRSAX,T Rowe Price Growth Stock Fund,"The Fund seeks long-term growth of capital and, secondarily, increasing dividend income by investing primarily in common stocks of well-established growth companies."
PRHSX,T Rowe Price Health Sciences Fund (PRHSX),"The Fund seeks long-term capital growth by primarily investing in common stocks of companies engaged in the research, development, production, or distribution of health-related products and services."
THISX,T Rowe Price Health Sciences Fund,"The Fund seeks long-term capital growth by primarily investing in common stocks of companies engaged in the research, development, production, or distribution of health-related products and services."
PRHYX,T Rowe Price High Yield Fund (PRHYX),"The Fund seeks high current income and, secondarily, capital appreciation by investing at least 80% of assets in a widely diversified portfolio of high-yield corporate bonds, often called ""junk"" bonds, income-producing convertible securities, and preferred stocks.  Bonds will be those rated below investment grade."
PAHIX,T Rowe Price High Yield Fund,"The Fund seeks high current income and, secondarily, capital appreciation by investing at least 80% of assets in a widely diversified portfolio of high-yield corporate bonds, often called ""junk"" bonds, income-producing convertible securities, and preferred stocks.  Bonds will be those rated below investment grade."
PRIPX,T Rowe Price Inflation Protected Bond Fund (PRIPX),"The Fund seeks to provide inflation protection and income by investing at least 80% of its assets in inflation-protected and inflation-indexed bonds. The emphasis will be on bonds issued by the U.S. Treasury, U.S. government agencies, foreign governments, and corporations may also be purchased."
TIIPX,T Rowe Price Inflation Protected Bond Fund,"The Fund seeks to provide inflation protection and income by investing at least 80% of its assets in inflation-protected and inflation-indexed bonds. The emphasis will be on bonds issued by the U.S. Treasury, U.S. government agencies, foreign governments, and corporations may also be purchased."
TRIAX,T Rowe Price Institutional Afr & Middle East Fund (TRIAX),The Fund seeks long-term growth of capital by investing primarily in the common stocks of companies located (or with primary operations) in Africa and the Middle East.  The Fund seeks to make substantially all of its investments (normally at least 80% of net assets) in African and the Middle Eastern companies.
TICPX,T Rowe Price Institutional Core Plus Fund (TICPX),"The Fund seeks to maximize total return through income and capital appreciation by investing primarily in a core portfolio of investment grade, U.S. fixed-income securities."
TREBX,T Rowe Price Institutional Emerging Markets Bond Fund (TREBX),The Fund seeks to provide high income and capital appreciation. The Fund will normally invest at least 80% (and potentially all) of net assets in the government or corporate debt securities of emerging nations.
IEMFX,T Rowe Price Institutional Emerging Markets Equity Fund (IEMFX),"The Fund seeks long-term growth of capital through investments primarily in the common stocks of companies located (or with primary operations) in emerging markets. An emerging market includes any country defined as emerging or developing by the World Bank, the International Finance Corporation, or the United Nations."
RPIFX,T Rowe Price Institutional Floating Rate Fund (RPIFX),"The Fund seeks high current income and, secondarily, capital appreciation. The Fund seeks to normally invest at least 80% of net assets in floating rate loans and debt securities."
PFFRX,T Rowe Price Institutional Floating Rate Fund,"The Fund seeks high current income and, secondarily, capital appreciation. The Fund seeks to normally invest at least 80% of net assets in floating rate loans and debt securities."
PRFFX,T Rowe Price Institutional Frontier Markets Equity Fund (PRFFX),"The Fund seeks long-term growth of capital. The Fund invests at least 80% of its net assets in equity securities and equity-related investments of companies that are located in countries considered to be frontier markets. It may purchase securities issued by companies of any size, but typically seeks larger companies."
TRGSX,T Rowe Price Institutional Global Focused Growth Equity Fund (TRGSX),"The Fund seeks long-term growth of capital through investments primarily in the common stocks of established companies throughout the world, including the U.S. The percentage of assets invested in U.S. and foreign stocks will normally be at least 80% of net assets."
RPIGX,T Rowe Price Institutional Global Growth Equity Fund (RPIGX),"The Fund seeks long-term growth of capital through investments primarily in the common stocks of large-cap companies throughout the world, including the U.S.  The Fund seeks to invest substantially all of its assets (normally at least 80% of net assets) in stocks of large-cap companies."
PRIGX,T Rowe Price Institutional Global Value Equity (PRIGX),"The Fund seeks long-term capital appreciation. The Fund normally invests at least 80% of its net assets in equity securities issued by companies throughout the world.  Under normal conditions, at least 40% of the funds net assets will be invested in companies outside the US."
TRHYX,T Rowe Price Institutional High Yield Fund (TRHYX),"The Fund seeks high current income and, secondarily, capital appreciation.  The fund will normally invest at least 80% of net assets in a widely diversified portfolio of high-yield corporate bonds, often called ""junk"" bonds, income-producing convertible securities, and preferred stocks."
RPICX,T Rowe Price Institutional International Concentrated Equity (RPICX),"The Fund seeks long-term growth of capital.  The Fund invests in stocks of companies located outside the U.S.  Under normal conditions, the fund will invest at least 80% of its net assets in stocks of non-U.S. companies and no more than 15% of its net assets will be invested in stocks of companies in emerging markets."
TRCEX,T Rowe Price Institutional International Core Eqty (TRCEX),"The Fund seeks long-term growth of capital thorugh investments in the common stck of non-U.S. companies. The Fund invest substantially all of its assets outside the U.S. and to diversify broadly among developed and, to a lesser extent, emerging countries throughout the world."
PRFEX,T Rowe Price Institutional International Growth Equity Fund (PRFEX),The Fund seeks long-term growth of capital by investing primarily in the common stocks of established non-US companies.
TPLGX,T Rowe Price Institutional Large-Cap Core Growth Fund (TPLGX),The Fund seeks to provide long-term capital growth through investments in the common stocks of large-cap growth companies.  The Fund will normally invest substantially all of its net assets in large-cap companies.
TRLGX,T Rowe Price Institutional Large-Cap Growth Fund (TRLGX),The Fund seeks long-term capital appreciation through investments in the common stocks of large-capitalization growth companies.
TILCX,T Rowe Price Institutional Large-Cap Value Fund (TILCX),The Fund seeks to provide long-term capital appreciation and secondarily income.  The Fund will normally invest at least 80% of its net assets (including any borrowings for investment purposes) in securities of large-cap companies that the portfolio manager regards as undervalued.
RPLCX,T Rowe Price Institutional Long Duration Credit Fd (RPLCX),The Fund seeks high income. The Fund invests in a diversified portfolio of longer duration debt securities issued by corporations as well as certain non-corporate issuers. The Fund invests at least 85% of the its net assets in investment-grade securities by at least one of the major credit rating agency.
PMEGX,T Rowe Price Institutional Mid-Cap Equity Growth Fund (PMEGX),The Fund seeks to provide long-term capital appreciation by investing in mid-cap stocks with potential for above-average earnings growth.  The Fund will normally invest at least 80% of its net assets in a diversified portfolio of common stocks of mid-cap companies.
TRSSX,T Rowe Price Institutional Small-Cap Stock Fund (TRSSX),The Fund seeks to provide long-term capital growth by investing primarily in stocks of small companies.  Small companies are defined as those falling in the range of companies in the Russell 2000 Index.
TRISX,T Rowe Price Institutional US Structured Research Fund (TRISX),"The Fund seeks to provide long-term capital growth by investing primarily in U.S. common stocks. The Fund seeks to invest in large-capitalization U.S. common stocks, small- and mid-capitalization and foreign stocks may also be purchased in keeping with fund objectives."
PRIHX,T Rowe Price Intermediate Tax-Free High Yield Fund (PRIHX),The Fund seeks to provide a high level of income exempt from federal income taxes. The Fund normally invests at least 80% of its net assets in securities whose interest is free from federal income taxes. It intends to invest a substantial portion of its assets in municipal bonds that are rated noninvestment-grade.
PRAHX,T Rowe Price Intermediate Tax-Free High Yield Fund,The Fund seeks to provide a high level of income exempt from federal income taxes. The Fund normally invests at least 80% of its net assets in securities whose interest is free from federal income taxes. It intends to invest a substantial portion of its assets in municipal bonds that are rated noninvestment-grade.
RPIBX,T Rowe Price International Bond Fund (RPIBX),The Fund seeks to provide high current income and capital appreciation.  The Fund will typically invest at least 80% of its net assets in foreign bonds and 65% of its net assets in foreign bonds that are rated within the three highest credit categories.
PAIBX,T Rowe Price International Bond Fund,The Fund seeks to provide high current income and capital appreciation.  The Fund will typically invest at least 80% of its net assets in foreign bonds and 65% of its net assets in foreign bonds that are rated within the three highest credit categories.
PRCNX,T Rowe Price International Concentrated Equity Fund (PRCNX),"The Fund seeks long-term growth of capital through investments in stocks of non-U.S. companies. Under normal conditions, the Fund will invest at least 80% of its net assets in stocks of non-U.S. companies and no more than 15% of its net assets will be invested in stocks of companies in emerging markets."
PRNCX,T Rowe Price International Concentrated Equity Fund,"The Fund seeks long-term growth of capital through investments in stocks of non-U.S. companies. Under normal conditions, the Fund will invest at least 80% of its net assets in stocks of non-U.S. companies and no more than 15% of its net assets will be invested in stocks of companies in emerging markets."
PRIDX,T Rowe Price International Discovery Fund (PRIDX),The Fund seeks long-term growth of capital by investing primarily in the common stocks of rapidly growing small and medium-sized foreign companies.
TIDDX,T Rowe Price International Discovery Fund,The Fund seeks long-term growth of capital by investing primarily in the common stocks of rapidly growing small and medium-sized foreign companies.
PIEQX,T Rowe Price International Equity Index Fund (PIEQX),"The Fund seeks to provide long-term capital growth by trying to match the performance of the FTSE Developed Ex North America Index, an equity market index based on the market capitalization of over 1,000 predominantly large companies listed in over 20 countries, including Japan, the U.K.  and other developed countries."
TRIGX,T Rowe Price International Growth & Income Fund (TRIGX),"The Fund seeks capital appreciation.  The Fund invests in large-capitalization, dividend-paying companies outside the US.  Style reflects a growth and value orientation."
PAIGX,T Rowe Price International Growth & Income Fund,"The Fund seeks capital appreciation.  The Fund invests in large-capitalization, dividend-paying companies outside the US.  Style reflects a growth and value orientation."
PRITX,T Rowe Price International Stock Fund (PRITX),"The Fund seeks long-term growth of capital, through investments primarily in the common stocks of established, non-US companies."
PAITX,T Rowe Price International Stock Fund,"The Fund seeks long-term growth of capital, through investments primarily in the common stocks of established, non-US companies."
PRJPX,T Rowe Price Japan Fund (PRJPX),The Fund seeks capital appreciation through investment in common stocks of companies located (or with primary operations) in Japan. The Fund invests in a wide range of Japanese industries and companies.  Stock selection reflects a growth style.
PRLAX,T Rowe Price Latin America Fund (PRLAX),"The Fund seeks long-term growth of capital through investments primarily in the common stocks of companies located, or with primarily operations in Latin America."
TRBFX,T Rowe Price Limited Duration Inflation Focused Bond Fund (TRBFX),"The Fund seeks a high level of income consistent with minimal fluctuation in principal value and liquidity.  The Fund will invest at least 80% of its net assets in bonds. The Fund will invest in short and intermediate term investment grade inflation-linked securities, including Treasury Inflation Protected Securities."
TRLDX,T Rowe Price Limited Duration Inflation Focused Bond Fund,"The Fund seeks a high level of income consistent with minimal fluctuation in principal value and liquidity.  The Fund will invest at least 80% of its net assets in bonds. The Fund will invest in short and intermediate term investment grade inflation-linked securities, including Treasury Inflation Protected Securities."
PRMDX,T Rowe Price Maryland Short-Term Tax-Free Bond Fund (PRMDX),"The Fund seeks to provide the highest level of income exempt from both federal and Maryland State and local income taxes consistent with modest fluctuation in principal value. The Funds dollar weighted average maturity will range between one and three years, but there is no maturity limit on individual securities."
MDXBX,T Rowe Price Maryland Tax-Free Bond Fund (MDXBX),The Fund seeks to provide the highest level of income exempt from federal and Maryland State and local income taxes by investing primarily in investment grade Maryland municipal bonds. The Fund's dollar-weighted average maturity will usually exceed 15 years.
PRMTX,T Rowe Price Media & Telecommunications Fund (PRMTX),"The Fund seeks to provide long-term capital growth. It invests primarily in common stocks of companies operating in the media, telecommunications, and technology industries, such as entertainment, broadcasting, and advanced communications networks."
TTMIX,T Rowe Price Media & Telecommunications Fund,"The Fund seeks to provide long-term capital growth. It invests primarily in common stocks of companies operating in the media, telecommunications, and technology industries, such as entertainment, broadcasting, and advanced communications networks."
RPMGX,T Rowe Price Mid-Cap Growth Fund (RPMGX),The Fund seeks to provide long-term capital appreciation by investing in mid-cap stocks with potential for above-average earnings growth.
PAMCX,T Rowe Price Mid-Cap Growth Fund,The Fund seeks to provide long-term capital appreciation by investing in mid-cap stocks with potential for above-average earnings growth.
TRMCX,T Rowe Price Mid-Cap Value Fund (TRMCX),The Fund seeks long-term capital appreciation by using a value-oriented approach. The Fund invests in common stocks of medium sized companies believed to be undervalued in the marketplace.
TAMVX,T Rowe Price Mid-Cap Value Fund,The Fund seeks long-term capital appreciation by using a value-oriented approach. The Fund invests in common stocks of medium sized companies believed to be undervalued in the marketplace.
PRWAX,T Rowe Price New America Growth Fund (PRWAX),The Fund seeks to achieve long-term growth of capital by investing in the common stocks of companies in sectors T. Rowe Price believes will be the fastest growing in the United States.
PAWAX,T Rowe Price New America Growth Fund,The Fund seeks to achieve long-term growth of capital by investing in the common stocks of companies in sectors T. Rowe Price believes will be the fastest growing in the United States.
PRASX,T Rowe Price New Asia Fund (PRASX),"The Fund seeks long-term growth of capital by investing in both large and small capitalization companies domiciled, or with primary operations, in Asia, excluding Japan."
PNSIX,T Rowe Price New Asia Fund,"The Fund seeks long-term growth of capital by investing in both large and small capitalization companies domiciled, or with primary operations, in Asia, excluding Japan."
PRNEX,T Rowe Price New Era Fund (PRNEX),The Fund seeks capital appreciation through companies that own or develop natural resources and other basic commodities.
TRNEX,T Rowe Price New Era Fund,The Fund seeks capital appreciation through companies that own or develop natural resources and other basic commodities.
PRNHX,T Rowe Price New Horizons Fund (PRNHX),"The Fund seeks long-term growth of capital by investing primarily in common stocks of small, rapidly growing companies."
PRJIX,T Rowe Price New Horizons Fund,"The Fund seeks long-term growth of capital by investing primarily in common stocks of small, rapidly growing companies."
PRCIX,T Rowe Price New Income Fund (PRCIX),"The Fund seeks to obtain the highest income over the long-term consistent with preservation of capital, through investment in marketable debt securities."
PANIX,T Rowe Price New Income Fund,"The Fund seeks to obtain the highest income over the long-term consistent with preservation of capital, through investment in marketable debt securities."
NJTFX,T Rowe Price New Jersey Tax-Free Bond Fund (NJTFX),"The Fund seeks to provide, consistent with prudent portfolio management, the highest level of income exempt from federal and New Jersey income taxes by investing primarily in investment-grade New Jersey municipal bonds."
PRNYX,T Rowe Price New York Tax-Free Bond Fund (PRNYX),"The Fund seeks to provide investors with a high level of current income exempt from Federal, New York State and New York City income taxes by investing primarily in investment grade New York municipal bond. The Funds dollar-weighted average will usually exceed 15 years."
TROSX,T Rowe Price Overseas Stock Fund (TROSX),The Fund seeks long-term growth of capital through investments in the common stocks of non-U.S. companies.  The Fund will invest primarily in the stocks of large companies that have attractive prospects for capital appreciation.
PAEIX,T Rowe Price Overseas Stock Fund,The Fund seeks long-term growth of capital through investments in the common stocks of non-U.S. companies.  The Fund will invest primarily in the stocks of large companies that have attractive prospects for capital appreciation.
TRPBX,T Rowe Price Personal Strategy Balanced Fund (TRPBX),"The Fund seeks a high total return with primary emphasis on capital appreciation using a portfolio comprised of 60% stocks, 30% bonds and 10% money markets."
TPPAX,T Rowe Price Personal Strategy Balanced Fund,"The Fund seeks a high total return with primary emphasis on capital appreciation using a portfolio comprised of 60% stocks, 30% bonds and 10% money markets."
TRSGX,T Rowe Price Personal Strategy Growth Fund (TRSGX),"The Fund seeks highest total return over time, consistent with a primary emphasis on capital growth and a secondary one on income.  Invests in a diversified portfolio consisting of 80% and 20% bonds and money market securities."
TGIPX,T Rowe Price Personal Strategy Growth Fund,"The Fund seeks highest total return over time, consistent with a primary emphasis on capital growth and a secondary one on income.  Invests in a diversified portfolio consisting of 80% and 20% bonds and money market securities."
PRSIX,T Rowe Price Personal Strategy Income Fund (PRSIX),"The Fund seeks high total return with primary emphasis on capital appreciation using a portfolio comprised of 40% stocks, 40% bonds, and 20% money markets."
PPIPX,T Rowe Price Personal Strategy Income Fund,"The Fund seeks high total return with primary emphasis on capital appreciation using a portfolio comprised of 40% stocks, 40% bonds, and 20% money markets."
TQGEX,T Rowe Price QM Global Equity Fund (TQGEX),"The Fund seeks long-term growth of capital. Under normal conditions, the Fund invests at least 80% of its net assets in equity securities. The Fund invests predominantly in common stocks and may invest in companies of any market capitalization, but will generally focus on large- and mid-cap companies."
TQGAX,T Rowe Price QM Global Equity Fund,"The Fund seeks long-term growth of capital. Under normal conditions, the Fund invests at least 80% of its net assets in equity securities. The Fund invests predominantly in common stocks and may invest in companies of any market capitalization, but will generally focus on large- and mid-cap companies."
TQSMX,T Rowe Price QM US Small & Mid-Cap Core Equity (TQSMX),"The Fund seeks long-term growth of capital. Under normal conditions, the Fund invests at least 80% of its net assets (including any borrowings for investment purposes) in equity securities issued by small- and mid-cap U.S. companies. The Fund expects to invest predominantly in common stocks."
TQSAX,T Rowe Price QM US Small & Mid-Cap Core Equity,"The Fund seeks long-term growth of capital. Under normal conditions, the Fund invests at least 80% of its net assets (including any borrowings for investment purposes) in equity securities issued by small- and mid-cap U.S. companies. The Fund expects to invest predominantly in common stocks."
PRDSX,T Rowe Price QM US SmCp Gro Eqty Fd (PRDSX),The Fund seeks long-term growth of capital by investing primarily in common stocks of small growth companies.  The Fund will normally invest at least 80% of its net assets in small-cap growth companies.  The Fund seeks to invest in a broadly diversified portfolio of securities.
TQAIX,T Rowe Price QM US SmCp Gro Eqty Fd,The Fund seeks long-term growth of capital by investing primarily in common stocks of small growth companies.  The Fund will normally invest at least 80% of its net assets in small-cap growth companies.  The Fund seeks to invest in a broadly diversified portfolio of securities.
TQMVX,T Rowe Price QM US Value Equity Fund (TQMVX),"The Fund seeks long-term growth of capital. The Fund invests at least 80% of its net assets in equity securities issued by U.S. companies. The Fund expects to invest in common stocks and may invest in companies of any market capitalization, but will focus on large- and mid-cap companies that appear to be undervalued."
TQVAX,T Rowe Price QM US Value Equity Fund,"The Fund seeks long-term growth of capital. The Fund invests at least 80% of its net assets in equity securities issued by U.S. companies. The Fund expects to invest in common stocks and may invest in companies of any market capitalization, but will focus on large- and mid-cap companies that appear to be undervalued."
PRAFX,T Rowe Price Real Assets Fund (PRAFX),"The Fund seeks to provide long-term growth of capital. The Fund will normally invest at least 80% of its net assets in real assets and securities of companies that derive at least 50% of their profits or revenues from, or commit at least 50% of assets to, real assets and activities related to real assets."
PRIKX,T Rowe Price Real Assets Fund,"The Fund seeks to provide long-term growth of capital. The Fund will normally invest at least 80% of its net assets in real assets and securities of companies that derive at least 50% of their profits or revenues from, or commit at least 50% of assets to, real assets and activities related to real assets."
TRREX,T Rowe Price Real Estate Fund (TRREX),The Fund seeks capital appreciation and current income through investments in companies engaged in real estate.
PAREX,T Rowe Price Real Estate Fund,The Fund seeks capital appreciation and current income through investments in companies engaged in real estate.
TRRFX,T Rowe Price Retirement 2005 Fund (TRRFX),The Fund seeks the highest total return over time consistent with an emphasis on capital growth and income.  The Fund pursues its objective by investing in a diversified portfolio of other T. Rowe Price stock and bond funds.  The Fund's asset allocation will change over time in relation to its target retirement date.
PARGX,T Rowe Price Retirement 2005 Fund,The Fund seeks the highest total return over time consistent with an emphasis on capital growth and income.  The Fund pursues its objective by investing in a diversified portfolio of other T. Rowe Price stock and bond funds.  The Fund's asset allocation will change over time in relation to its target retirement date.
TRRAX,T Rowe Price Retirement 2010 Fund (TRRAX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARAX,T Rowe Price Retirement 2010 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRGX,T Rowe Price Retirement 2015 Fund (TRRGX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARHX,T Rowe Price Retirement 2015 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRBX,T Rowe Price Retirement 2020 Fund (TRRBX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARBX,T Rowe Price Retirement 2020 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRHX,T Rowe Price Retirement 2025 Fund (TRRHX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARJX,T Rowe Price Retirement 2025 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRCX,T Rowe Price Retirement 2030 Fund (TRRCX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARCX,T Rowe Price Retirement 2030 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRJX,T Rowe Price Retirement 2035 Fund (TRRJX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARKX,T Rowe Price Retirement 2035 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRDX,T Rowe Price Retirement 2040 Fund (TRRDX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARDX,T Rowe Price Retirement 2040 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
TRRKX,T Rowe Price Retirement 2045 Fund (TRRKX),The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
PARLX,T Rowe Price Retirement 2045 Fund,The Fund seeks to provide the highest total return over time consistent with an emphasis on both capital growth and income.
